Rating,Label,Review_Text
5,-1,"i love sakagura. ??its a bit hard to find but i think that makes it part of the appeal. ??the bathrooms are designed to look like the ones you would find at a ""real"" sakagura (aka sake factory). ??desserts are to die for. ??i've tried many things here but the one dishes that stick out are the pork belly and the saba w/ ume sauce appetizer. ??the best sake selection in the city hands down."
4,1,"Ceviche mixto was great, the fish tacos were great, the tuna with avocado dish was really good too. We also had the cilantro tamale, which was good, but too heavy after eating all the other light dishes. Service was very good too. Great place for really good ceviche!!"
5,-1,Brooklyn's best-kept secret. Brunch and dinner are both scrumptious. Everything is locally sourced and seasonal and yummy. Sooo good.
2,1,Prepare to be annoyed. ??The food is unremarkable. ??The decor is lacking. ??And too many bloody hipsters.
4,-1,"Solid food, cute restaurant"
4,-1,The food here is really GOOD so I had to write something about it. ??I tried their falafel sandwich with a side order of Zaatar fries. Plus i also ordered the egg flatbread and ba'al salad for take out. It took a little longer to get the food but the wait is worth it. Also the lines were longer because it ??was lunch time. Very tasty food and awesome variety of salads.I highly recommend trying this out for yourself. Though they only take cash at the meantime so make sure to get some before you go there!
4,1,"Big fan of Balthazar. We strolled in around 7:30 p.m. on a Friday night and the place was hopping. Since it was a 2-hour wait, we opted to have a drink at the bar and wait for a cafe table to open - and it did, in less than 20 minutes. The hostess was super sweet and attentive, as was the bartender. We ordered the brandade de morue and foie gras & chicken liver mousse for appetizers - outstanding. Allow me to state here that these are not items I would ever order on my own, but my husband was trying to make me try new things. Salted cod mixed with mashed potatoes and liver mousse do not sound good to me, however both were positively delicious and well-done, with fantastic presentation. I was so surprised and delighted. For dinner my husband and I split the steak au poivre. Another outstanding item. The French fries were crispy goodness, the spinach on the side perfectly cooked and the steak - delectable. We asked for medium and they delivered it medium rare, but it was perfection. This is on my list of favorite places in NYC."
5,-1,Well my first official review goes to this wonderful God sent restaurant which me and my wife visited last night. At first I was a little worried about the service because the cashier didn't really know anything at all about the menu at all but the food wrapper saved the day he came and told what to order and how to order it. He suggested the chicken burrito with short rib and it was BOMBBBBBB!!!!!!!!!!! I hope I didn't get him in trouble he actually tried to make it for me but that didnt sit to well with whom I assume is the owner. My wife had the pork burrito which was spicy as helllll lol. Over all I love this restaurant. From the food to the staff. So the combination of the food and the food guro/foodwrapper I give u guys a high 5 star. Ill see u soon and tell him im sorry if I got him in any trouble.
5,1,"I went here for lunch with my family. They honored my reservation, which is unusual in the restaurant business. We were seated at a nice comfortable table. Service was prompt and attentive. We all had different items for lunch and no one was disappointed. Stand outs are; white shrimp salad, huevos rancheros, pulled pork sandwich and a juicy burger with a fried egg on top. Do Not miss the fresh ginger margarita. One of the best in the city. I will def retur."
4,-1,"Very fun for a group, though the place is small you might want to call ahead. I've been happy with everything I've ever eaten here. The pickled shots add an extra element of adventure to any meal here. Highly recommended."
3,1,"Came here for a private business event. ??There was about 25 of us. ??Service was excellent and the wait staff was courteous. ??However, the food was subpar but I'm sure there is a dish that would give this place 3 stars, hence the 3 stars. ??I would have given them 2 stars but I felt that would be too harsh. One thing to note is the ""butter"" they give you with the bread. ??We had vegetarians with us and I thought it was just regular butter but it wasn't. ??If I tasted it correctly, it has salmon flavor infused into it. ??So be careful if you are vegetarian that doesn't eat seafood. ??I like the concept but not practical. I had the lobster bisque, Herb Roasted Alaskan Halibut, Yukon Gold Whipped Potatoes and Glazed carrots. When the lobster bisque soup came, it had scattered pockets of what appeared to be film on the top layer of the soup. ??Maybe it was fat. ??I don't know, it looked very unappealing. ??Then I tried the soup and it was quite awful. ??The soup was bitter and too salty. ??They do give quite big pieces of lobster meat, which was fine, but the soup base, flavor, and seasoning was terrible. ??I saw some people not even bother finishing the soup. The halibut looked nice, tasted okay, but subpar. ??The fish didn't flake off and it was dry. ??The cream sauce wasn't bad but you really needed the sauce to make the fish taste good. The sides of potatoes and carrots. ??I really liked the carrots a lot. ??It was not soggy and it was fresh, seasoned properly and al dente. ??It was probably the best dish of the meal that night. ??The potatoes were definitely whipped but I wasn't sure if it was the type of potatoes used or if they used too much butter because the potatoes were dark yellow. ??Probably a combination of both and there was nothing special about it. For dessert, had chocolate chip cookies, 3 types of ice cream, and 3 types of sorbet. The cookies were relatively soft in the center and crunchy on the outside. ??I've had homemade cookies taste better. ??I didn't bother trying the ice cream. ??The 3 sorbets I had were the mango, lime, and raspberry. ??I liked the sorbet except that they were still frozen when they came to the table. ?? Overall, great wait staff, crappy food. ??Only thing I will say in their defense is that perhaps the quality of the food suffered because we had a party of about 25 or so. ?? ??However, as a customer, I would assume that they would want to put out their best food because they would want us to spread the word about how great this restaurant was. ?? I would not come back here. ??Dine at your own risk."
5,-1,"So freaking delicious I have to stop myself from coming here every night. All the chicken dishes are phenomenal and even if you skip the rice and just do chicken and salad (to save a few calories?), it's addictive. The falafel is perfectly crispy and light. ??Yum!"
4,-1,"My wife and I came down to Brooklyn to visit Brooklyn Museum and had Brunch at Cheryl's Global Soul afterwords. I had the most delicious pancakes I ever had. The pancakes were fluffy and moist, berries were fresh, portion size was perfect, it was just perfect and unforgettable. It will definitely be added to my ""to die for"" list. They had a little line to get in for Brunch but the server was very nice and checked on us a couple of times, and as soon as we sat down, the server came to take drink orders. (By the way, I recommend their Bloody Mary, hands down). Atmosphere was really laid back and lovely. I think we'll go back there for dinner. I've got my eyes on their Sake Glazed Salmon. Can anyone tell me about that dish?"
